Part ID,Failure_Year
RS15755,2003
RS207654,2002
RS23331,2005
RS55243,2005
RS2249,2000
RS35374,2005
RS168682,2004
RS168584,2004
RS168583,2008
RS131429,2008
RS94738,2006
RS186075,2008
RS69350,2008
RS36057,2010
RS115951,2007
RS212615,2002
RS170701,2002
RS208985,2008
RS194268,2002
RS18692,2011
RS131211,2010
RS51312,2003
RS200325,2009
RS118116,2001
RS5152,2002
RS139077,2005
RS211529,2006
RS47285,2004
RS47285,2006
RS176441,2005
RS178808,2009
RS60858,2005
RS76299,2004
RS91335,2012
RS162858,2006
RS74659,2002
RS74659,2000
RS74659,2001
RS6253,2008
RS72721,2004
RS38769,2005
RS181594,2002
RS33370,2003
RS35188,2003
RS9638,2005
RS51019,2004
RS93889,2006
RS167406,2006
RS204355,2006
RS24519,2008
RS202726,2003
RS12507,2005
RS12507,2002
RS156131,2008
RS96262,2010
RS58210,2005
RS167219,2010
RS6260,2004
RS21993,2008
RS41202,2007
RS175554,2006
RS44354,2006
RS118694,2005
RS36159,2004
RS46118,2004
RS236737,2010
RS51597,2005
RS43427,2005
RS1749,2009
RS43622,2011
RS43365,2004
RS88121,2005
RS75543,2008
RS119544,2004
RS149165,2005
RS205811,2005
RS112998,2011
RS188898,2012
RS166381,2010
RS60538,2006
RS18975,2010
RS113958,2000
RS159711,2003
RS18156,2008
RS17472,2004
RS41123,2006
RS163143,2008
RS122209,2005
RS84229,2008
RS133187,2006
RS194927,2003
RS50431,2004
RS208742,2006
RS71657,2008
RS10579,2003
RS10579,2005
RS23118,2009
RS25064,2006
RS40293,2004
RS203850,2005
RS195710,2010
RS92392,2008
RS33865,2010
RS135093,2004
RS11068,2006
RS35389,2005
RS211899,2007
RS5310,2010
RS6247,2011
RS131440,2007
RS122971,2000
RS4105,2003
RS58594,2009
RS194299,2012
RS152579,2004
RS191765,2006
RS186050,2006
RS115946,2002
RS115946,2002
RS192728,2010
RS19172,2005
RS39967,2005
RS181505,2005
RS188896,2011
RS99239,2002
RS30141,2007
RS160257,2008
RS160587,2007
RS69611,2007
RS44172,2009
RS181236,2002
RS136531,2002
RS49881,2006
RS44319,2007
RS116111,2009
TS56580,2004
RS132645,2008
RS24289,2007
RS64802,2009
RS165996,2002
RS106586,2006
RS106636,2003
RS207103,2011
RS155045,2006
RS1412,2002
RS119212,2005
RS16615,2009
RS10016,2008
RS14796,2003
RS129234,2007
RS130997,2001
RS19346,2008
RS133793,2004
RS96895,2007
RS10537,2005
RS14830,2005
RS20710,2007
RS54396,2011
RS47598,2001
RS33853,2005
RS65808,2006
RS35347,2007
RS76238,2006
RS31094,2009
RS46689,2003
RS221957,2009
RS116729,2004
RS188063,2006
RS10903,2005
RS10903,2010
RS205382,2001
RS99223,2001
RS130668,2007
RS119796,2007
RS51587,2007
RS161475,2008
RS27792,2003
RS181420,2009
RS73823,2007
RS193539,2008
RS52266,2007
RS122348,2007
RS6938,2003
RS155925,2002
RS168716,2008
RS191264,2009
RS43602,2009
RS144215,2005
RS181742,2009
RS118452,2009
RS209473,2008
RS209473,2005
RS193088,2004
RS193088,2005
RS193088,2005
RS58782,2009
RS206395,2007
RS79404,2009
RS42418,2011
RS142598,2008
RS30087,2006
RS5793,2003
RS52672,2006
RS237758,2005
RS168825,2008
RS51602,2005
RS160912,2006
RS161078,2001
RS34397,2003
RS202790,2005
RS49837,2003
RS194110,2002
RS49834,2010
RS3570,2004
RS179337,2008
RS196171,2009
RS170329,2002
RS184027,2007
RS126404,2004
RS47580,2008
RS145540,2002
RS15215,2005
RS183341,2006
RS69411,2006
RS61599,2003
RS56949,2008
RS20665,2008
TS60037,2007
RS179333,2011
RS139357,2004
RS57441,2002
RS57441,2007
RS57441,2003
RS248165,2005
RS193401,2008
RS21866,2007
RS36996,2006
RS24991,2007
RS19093,2005
RS8876,2005
RS136574,2002
RS134936,2006
RS74703,2003
RS35432,2011
RS124081,2009
RS123025,2009
RS24732,2005
RS192452,2006
RS51796,2011
RS42983,2002
RS55847,2004
RS94021,2006
RS231493,2000
RS27686,2006
RS74247,2006
RS8905,2006
RS129187,2006
RS154351,2007
RS154351,2004
RS49931,2007
RS192772,2003
RS205990,2005
RS119874,2008
TS10519,2006
TS7065,2006
RS188305,2006
RS36168,2002
RS134108,2009
RS204928,2005
RS22607,2005
RS73130,2010
RS106716,2004
RS117367,2006
RS99018,2002
RS1578,2001
RS132735,2005
RS82003,2007
